Patient_ID,NPHP3,SAMD13,STC1,THEM6,TNFRSF12A,ASNS,FAM89A,ACAT1,HPGD,SLC7A8,TRIB3,APPL2,LRRC75B,BAMBI,FGFR3,DMXL2,CCL20,SERPINE2,CDK10,SON,FCGBP,IQGAP2,LUC7L3,BCKDHB,LYAR,NAAA,SKAP2,BHLHE40,IGFBP5,SNX14,HOMER1,PAPLN
TCGA-A6-2672-01,-0.1575,-1.1683,0.2718,1.1809,-0.191,-0.786,-0.2876,-0.1413,-0.4289,-1.3875,-0.2781,-1.346,-0.8921,-0.0144,-2.1799,0.7347,-0.5449,-1.4083,-0.0779,0.463,-0.955,0.2649,1.4119,0.3134,-1.1155,-1.2971,-1.2854,1.2198,0.3767,-0.263,0.9296,0.2312
TCGA-A6-2674-01,1.5836,-1.9146,2.155,0.0627,0.1707,0.4543,1.0904,-1.5609,0.6989,0.3257,0.5467,-0.6481,-0.813,0.7179,-0.0892,0.142,-0.6326,0.3623,0.7861,-0.3568,0.4547,-1.7341,-0.9183,-0.9073,-1.197,0.1897,0.9737,1.1794,1.5831,-0.1971,1.0617,1.0396
TCGA-A6-2676-01,-1.2059,-0.8778,0.8978,0.0802,0.4223,0.5379,0.0691,0.4928,3.6164,-1.5033,1.4889,-1.9472,-1.9062,0.4501,-0.1724,1.5277,-2.4183,-2.094,-1.6627,0.0199,-1.4322,0.5627,0.5528,0.2082,0.1171,-0.4322,0.607,0.4575,-0.3178,3.2885,0.8164,-1.1756
TCGA-A6-2677-01,-0.4916,1.0345,-1.5613,-2.2556,0.0051,0.1022,0.4671,-0.3806,0.2428,-0.0189,0.2359,0.3183,-0.4821,-0.1938,0.8441,-3.1698,-0.7405,-0.4384,0.4906,-0.1855,-1.6912,0.2887,1.5172,1.2014,0.845,1.4144,-2.499,-0.9589,-1.415,-0.7896,0.6763,-0.5388
TCGA-A6-2678-01,-1.5975,1.0854,-0.0029,0.7988,-0.4767,-0.9361,0.1894,1.7043,-0.7128,0.2605,0.7577,-0.7086,-1.9461,-0.7328,-0.8221,-0.176,-0.1937,-0.9424,-1.738,-0.6264,-0.0249,0.0712,0.4434,-0.984,-0.1359,1.2702,0.0287,-0.914,0.1631,-2.9567,0.0958,0.1737
TCGA-A6-2683-01,0.8617,0.7068,-0.6324,-1.2638,-0.0379,1.2902,2.177,-0.7424,-0.9014,-1.5191,0.5537,-4.833,-2.9127,0.1861,-0.25,0.5956,-0.2698,-0.6607,-0.4731,-2.4497,-0.7578,-0.2888,-0.1761,-1.2007,-0.1886,-0.6161,0.9713,-2.078,-1.5306,-0.9741,-1.1764,-1.3597
TCGA-A6-3807-01,-0.9425,-0.5207,-0.3657,0.9966,0.6878,-0.3583,0.5122,0.6344,0.8673,1.224,-0.2046,-1.0235,-0.2698,-0.1104,-0.7772,-1.2231,-0.2321,0.2154,-0.0569,-0.4417,-1.0979,-0.9909,0.8834,0.0105,1.1693,-0.8886,1.8692,1.4872,0.2132,0.8684,0.5145,-0.5929
TCGA-A6-3808-01,0.1623,0.655,1.1436,-0.4832,0.6179,-0.339,0.3632,0.7856,0.0526,0.9598,-0.5196,-0.741,-0.7205,0.5711,-0.3761,-0.7425,-0.2505,0.6899,-0.9661,-0.0809,0.7247,-0.3325,-1.1058,0.5796,-0.2397,-0.8872,0.5436,0.5194,1.2281,0.9491,0.4419,0.5992
TCGA-A6-3809-01,-1.0358,-2.3359,0.0387,0.2515,0.8792,-1.215,1.382,0.0099,1.1038,0.2241,-0.0252,-0.6637,-0.9557,-0.8086,-0.468,0.3726,0.2799,-1.5684,0.5455,0.6945,-0.6637,-0.3342,-1.262,-1.4533,2.1542,-0.7928,-1.6836,0.4414,-0.6825,-0.9626,0.9166,0.4565
TCGA-A6-3810-01,2.0785,-0.087,2.2511,-0.2954,-0.1976,-0.2705,1.2972,-1.9194,0.0188,-0.1623,1.1261,-0.5595,-0.4046,-0.1797,-0.1747,-1.5417,0.0088,0.4704,0.0149,0.1948,-2.8548,-1.1463,-0.461,-0.3993,-0.6857,0.9104,1.8461,0.363,1.6032,3.1452,-0.9536,0.2308
TCGA-AA-3514-01,0.4075,0.4877,-0.3807,-2.2656,4.3423,-2.2428,-1.1341,-1.7073,-1.5699,-2.81,-3.6711,-1.7719,-2.2248,-1.6484,-2.6432,1.9403,-2.1025,-0.542,-1.0965,-3.1959,-3.0814,-2.6392,-0.6978,-1.6657,-2.4463,0.1193,1.5397,1.8578,-0.1481,-1.0368,0.008,0.3606
TCGA-AA-3516-01,-2.5252,-0.2764,-0.1529,0.8218,0.308,-0.4975,0.5032,0.6986,3.8083,-1.2571,-1.2413,-1.1496,-3.0649,0.3151,-1.4054,-0.8178,-1.4521,0.0449,-1.4404,-0.6278,1.02,0.279,-0.7843,-0.5741,-0.0171,-0.2152,-0.7963,0.3221,0.8029,1.2614,1.7918,-1.0033
TCGA-AA-3517-01,1.3192,-1.9305,0.4247,-0.6385,-1.2772,0.3636,1.7016,0.1942,-0.71,-0.395,-1.1198,-0.1068,1.2424,0.3053,0.3886,0.3515,1.8122,-0.1415,-0.1181,-0.9113,0.4241,-0.9432,3.1139,-1.6318,-1.1836,0.0608,-0.8858,1.3505,0.1333,-0.7813,0.2279,0.5017
TCGA-AA-3518-01,0.6138,-1.5013,0.6244,1.1025,-1.2145,-0.8466,0.1512,2.1926,-0.64,-2.0346,-0.3837,-0.7055,-0.0448,0.4143,-0.2736,1.0568,0.6735,-0.5529,0.3466,-0.4307,0.3983,1.0892,1.4218,-0.7501,-0.3901,-1.5135,-0.7896,-0.1769,-0.9584,0.4522,0.4194,-0.5633
TCGA-AA-3519-01,-0.7418,-2.0885,0.8514,-1.0185,0.3316,1.0723,-1.936,-3.0175,-1.3469,-2.572,-0.6887,-2.0714,-0.613,0.5145,0.9015,-2.1714,1.2903,-0.897,0.0344,-1.3234,-0.1989,-1.0117,-1.3784,-2.2239,-0.0207,-1.9381,-1.6939,-0.3443,0.4074,-2.3371,-0.4021,-0.6168
